Actual_value,predtected_by_model
7500.0,6429.673641635503
9000.0,10025.502177319013
5000.0,6889.957247721699
5000.0,9923.601822404302
10000.0,8991.392623960628
4500.0,9331.232762310878
12000.0,9526.218454267613
2800.0,3634.290712768595
12000.0,8464.992872850687
12000.0,13777.636840119345
3344.0,7507.989178325706
23800.0,12962.24116754623
1500.0,951.3651209953032
5000.0,5978.4135110236075
11000.0,9913.115464418705
8000.0,9352.28677955633
6000.0,8746.768520809881
7000.0,9296.758335059189
12000.0,12766.532012886973
6400.0,7356.445351383531
13000.0,12071.930643521953
7000.0,7192.260303585479
8000.0,10448.183112306486
1550.0,2074.801509042957
5000.0,6269.5581231680335
13650.0,14094.07910226433
3574.0,6923.733061211418
10000.0,12575.37337670714
6125.0,5559.039279039704
1500.0,4878.769730276774
20000.0,14644.675249195088
22000.0,15635.93170443476
13000.0,10820.852826218148
27000.0,14222.464885331463
13724.0,17848.21655131776
5600.0,7014.092282179603
6500.0,10116.025161966494
12000.0,8469.797962564864
9200.0,7075.045348053196
5000.0,5220.193635689959
6000.0,6714.090122402809
6822.0,6791.004958191626
12000.0,11295.254000943925
5000.0,7652.539024837999
24000.0,12584.463008313065
3200.0,3544.539618998052
2558.0,3130.4486566199876
5000.0,6064.599403091886
1000.0,2296.8974435967566
7500.0,7452.968424460225
3000.0,5231.655307721514
15000.0,12550.865568245223
15000.0,9511.413301075749
15000.0,17919.2539392189
2457.0,6885.33374952735
10234.0,12241.807038439407
4500.0,8992.625005723203
10000.0,9272.670802546667
5000.0,5923.147512489477
6000.0,6493.19702044324
4000.0,3271.8548578133386
8000.0,7902.406970987506
10000.0,7898.827339234978
10000.0,9406.938684799023
4800.0,5347.579403590851
24250.0,18765.65988832232
8400.0,12814.035186963527
4000.0,4642.527654461914
8000.0,9812.245174344289
22000.0,15453.742297347353
10000.0,8979.141949723731
6887.0,6833.216412704833
5000.0,7098.922678850191
4000.0,5263.33348346258
24962.0,12110.419643718398
10000.0,8542.858629217988
10000.0,8459.837651522195
11200.0,9452.65877406956
7356.0,9011.800019147826
8000.0,7774.815099576359
15000.0,10631.543986094783
5000.0,9487.823327380725
9000.0,6414.647363001366
20000.0,15084.371326363003
24000.0,13264.851612737604
9830.0,10207.735876980565
8000.0,11094.445101237287
6000.0,18796.190329140154
11750.0,12718.828134780759
10000.0,12864.971296414833
15000.0,14396.540610488037
10191.0,5169.985087763967
10000.0,20983.987993170813
12000.0,8867.173362564396
3500.0,5962.4696801721
6000.0,8545.613773854595
10000.0,11117.335091827747
2500.0,5415.865979796692
28869.0,14567.255456770183
14000.0,11683.345604169208
25000.0,13798.785823978336
4500.0,6364.313042726226
6000.0,7505.442836132845
8000.0,7432.176388615038
4000.0,5463.0561727744625
11000.0,8750.640899805365
8000.0,7825.59512538916
12000.0,9392.673194352848
6000.0,5951.705677097425
12000.0,12467.995154901402
3200.0,3847.8913614453004
3212.0,6690.619006688334
12300.0,15149.16953953451
3000.0,5302.197965971198
7500.0,9094.745156438032
6300.0,5291.777002824316
16000.0,17494.63802382612
1050.0,532.3349484085165
5169.0,6237.772992034381
4992.0,7840.523528752323
23000.0,11196.608540890827
25000.0,20639.529175873482
9600.0,7185.998151026235
5000.0,6150.850451492819
6075.0,20027.311345249604
3600.0,7713.460066271347
1500.0,4009.258842190742
9925.0,11473.651989131848
3838.0,4025.2782855361575
18000.0,17193.93350143965
10000.0,9744.728427221939
1454.0,3341.3121375801366
7200.0,11301.133641170105
10000.0,10046.18357583805
6000.0,10219.538100785727
4500.0,14556.994583681719
8875.0,13031.077806241365
8000.0,7544.9499554291015
10000.0,14098.901914671378
17400.0,11336.945142867018
2000.0,4281.088435460044
12000.0,12878.245210071027
10000.0,9725.355274562788
6000.0,7117.770682976918
14000.0,9177.480480250395
7500.0,8707.579784367264
3500.0,5650.84355047847
7500.0,9746.23993636302
13000.0,12492.23097330281
4500.0,5164.740641089253
10000.0,12247.697950208583
10450.0,12723.107122928312
18000.0,12247.726586993504
4000.0,7488.153007151845
9600.0,15672.757834917376
8000.0,11366.659659919524
10000.0,8721.808800861525
1375.0,1986.7941862099442
4500.0,5152.502143130543
3000.0,5365.067317027269
8000.0,8058.9209532907735
3500.0,7174.994480117684
8000.0,12308.086011441894
2500.0,3723.078182694935
23000.0,19893.864326347924
2000.0,1431.3670631338964
20000.0,13832.886119588065
7150.0,6293.335705473864
6000.0,10337.213915023323
12000.0,7869.564972552604
14000.0,12193.473852152554
10000.0,8128.426735318653
6000.0,6001.1241256990415
10000.0,9750.979903464635
10000.0,8924.178943487077
2500.0,4192.659261620309
5600.0,5604.2605155430265
6000.0,7085.640210219355
6500.0,6530.285687740667
12000.0,10117.131122221423
8371.0,7091.3979312619285
1901.0,4646.835535412014
8000.0,11114.914771689202
10500.0,9533.602107871458
6000.0,8832.35981348506
8000.0,8121.958319312027
2800.0,6311.432636702259
6000.0,5189.763413536521
1800.0,2424.457445780915
2500.0,1738.6538317630966
5500.0,8246.875129266731
14500.0,21799.21308188277
9227.0,10932.397848420535
3600.0,4046.0866612943637
15000.0,10600.953426848382
9600.0,9088.249080658634
